Version,ReleaseIndex,ReleaseData,File,Class,Signature,LOC,NumStatements,NumParams,NumLocalVars,Cyclomatic,CognitiveComplexity,NestingDepth,ReturnTypeComplexity,CodeSmells,NR,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,LOC_Deleted,MAX_LOC_Deleted,AVG_LOC_Deleted,Churn,MAX_Churn,AVG_Churn,Global_NR,Global_NAuth,Global_LOC_Added,Global_MAX_LOC_Added,Global_AVG_LOC_Added,Global_LOC_Deleted,Global_MAX_LOC_Deleted,Global_AVG_LOC_Deleted,Global_Churn,Global_MAX_Churn,Global_AVG_Churn,isBuggy
4.2.1,5,2013-03-27,BookKeeper.java,BookKeeper,"'org.apache.bookkeeper.client.BookKeeper.createLedger(int, int, int, DigestType, byte[])'",17,6,5,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,True
4.2.1,5,2013-03-27,PubSubProtocol.PubSubRequest.java,PubSubProtocol.PubSubRequest,org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest.hasShouldClaim(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,7,4,4,4,11,11,11,False
4.2.1,5,2013-03-27,PubSubProtocol.StartDeliveryRequest.Builder.java,PubSubProtocol.StartDeliveryRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.StartDeliveryRequest.Builder.maybeForceBuilderInitialization(),4,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,PubSubProtocol.MessageSeqId.java,PubSubProtocol.MessageSeqId,org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId.writeTo(com.google.protobuf.CodedOutputStream),10,4,1,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2,2,4,2,2,8,4,4,False
4.2.1,5,2013-03-27,ConcurrencyUtils.java,ConcurrencyUtils,org.apache.hedwig.util.ConcurrencyUtils.await(CyclicBarrier),7,1,1,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,PropertyExprFunction.BetweenExpr.java,PropertyExprFunction.BetweenExpr,"'org.apache.hedwig.jms.selector.PropertyExprFunction.BetweenExpr.doEvaluate(SelectorConstant, SelectorConstant, SelectorConstant)'",57,6,3,1,11,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,PubSubProtocol.PubSubResponse.java,PubSubProtocol.PubSubResponse,org.apache.hedwig.protocol.PubSubProtocol.PubSubResponse.getStatusMsg(),13,2,0,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,4,4,4,False
4.2.1,5,2013-03-27,MessageImpl.java,MessageImpl,"'org.apache.hedwig.jms.message.MessageImpl.setObjectProperty(String, Object)'",12,5,2,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,BookieServer.java,BookieServer,org.apache.bookkeeper.proto.BookieServer.main(String[]),39,8,1,6,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,17,2,53,12,3.117647,34,6,2,87,14,5.117647,False
4.2.1,5,2013-03-27,DataFormats.LedgerRereplicationLayoutFormat.java,DataFormats.LedgerRereplicationLayoutFormat,org.apache.bookkeeper.proto.DataFormats.LedgerRereplicationLayoutFormat.getSerializedSize(),15,8,0,1,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,PubSubProtocol.SubscriptionOptions.Builder.java,PubSubProtocol.SubscriptionOptions.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionOptions.Builder.hasMessageWindowSize(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,6,6,6,False
