Version,ReleaseIndex,ReleaseData,File,Class,Signature,LOC,NumStatements,NumParams,NumLocalVars,Cyclomatic,CognitiveComplexity,NestingDepth,ReturnTypeComplexity,CodeSmells,NR,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,LOC_Deleted,MAX_LOC_Deleted,AVG_LOC_Deleted,Churn,MAX_Churn,AVG_Churn,Global_NR,Global_NAuth,Global_LOC_Added,Global_MAX_LOC_Added,Global_AVG_LOC_Added,Global_LOC_Deleted,Global_MAX_LOC_Deleted,Global_AVG_LOC_Deleted,Global_Churn,Global_MAX_Churn,Global_AVG_Churn,isBuggy
4.1.1,3,2013-01-16,PubSubProtocol.StopDeliveryRequest.java,PubSubProtocol.StopDeliveryRequest,org.apache.hedwig.protocol.PubSubProtocol.StopDeliveryRequest.toBuilder(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,PubSubProtocol.SubscribeRequest.Builder.java,PubSubProtocol.SubscribeRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscribeRequest.Builder.getDescriptorForType(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,9,9,9,13,13,13,True
4.1.1,3,2013-01-16,MapUtils.java,MapUtils,org.apache.hedwig.protoextensions.MapUtils.buildMapBuilder(Map),7,3,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,NetUtils.java,NetUtils,"'org.apache.hedwig.client.netty.NetUtils.buildConsumeRequest(long, TopicSubscriber, MessageSeqId)'",14,10,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,ZkMetadataManagerFactory.java,ZkMetadataManagerFactory,org.apache.hedwig.server.meta.ZkMetadataManagerFactory.next(),4,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,BookkeeperPersistenceManager.java,BookkeeperPersistenceManager,"'org.apache.hedwig.server.persistence.BookkeeperPersistenceManager.setMessageBound(ByteString, Integer)'",3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,PubSubProtocol.SubscriptionEventResponse.java,PubSubProtocol.SubscriptionEventResponse,"'org.apache.hedwig.protocol.PubSubProtocol.SubscriptionEventResponse.parseFrom(com.google.protobuf.ByteString, com.google.protobuf.ExtensionRegistryLite)'",3,1,2,0,1,0,0,1,0,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,True
4.1.1,3,2013-01-16,PubSubProtocol.SubscriptionState.Builder.java,PubSubProtocol.SubscriptionState.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionState.Builder.clearMsgId(),10,3,0,0,2,1,1,1,0,1,1,7,7,7,2,2,2,9,9,9,1,1,7,7,7,2,2,2,9,9,9,True
4.1.1,3,2013-01-16,PubSubProtocol.SubscriptionDataOrBuilder.java,PubSubProtocol.SubscriptionDataOrBuilder,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionDataOrBuilder.hasPreferences(),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,PubSubProtocol.PubSubRequest.java,PubSubProtocol.PubSubRequest,"'org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest.parseFrom(byte[], com.google.protobuf.ExtensionRegistryLite)'",3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,HChannelManager.java,HChannelManager,org.apache.hedwig.client.netty.HChannelManager.getSubscribeResponseHandler(TopicSubscriber),0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,PubSubProtocol.StopDeliveryRequest.Builder.java,PubSubProtocol.StopDeliveryRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.StopDeliveryRequest.Builder.getDescriptorForType(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,109,109,109,1,1,1,110,110,110,True
4.1.1,3,2013-01-16,PubSubProtocol.MessageSeqId.Builder.java,PubSubProtocol.MessageSeqId.Builder,org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId.Builder.removeRemoteComponents(int),10,2,1,0,2,1,1,1,0,1,1,56,56,56,0,0,0,56,56,56,1,1,56,56,56,0,0,0,56,56,56,True
4.1.1,3,2013-01-16,CRC32DigestManager.java,CRC32DigestManager,org.apache.bookkeeper.client.CRC32DigestManager.getValueAndReset(),7,5,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,1.5,3,2,1.5,6,4,3,False
4.1.1,3,2013-01-16,AbstractTopicManager.java,AbstractTopicManager,"'org.apache.hedwig.server.topics.AbstractTopicManager.postReleaseCleanup(ByteString, Callback, Object)'",0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,ZkMetadataManagerFactory.ZkTopicOwnershipManagerImpl.java,ZkMetadataManagerFactory.ZkTopicOwnershipManagerImpl,"'org.apache.hedwig.server.meta.ZkMetadataManagerFactory.ZkTopicOwnershipManagerImpl.safeProcessResult(int, String, Object, String)'",15,1,4,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,PubSubProtocol.SubscriptionOptionsOrBuilder.java,PubSubProtocol.SubscriptionOptionsOrBuilder,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionOptionsOrBuilder.hasMessageBound(),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,PubSubProtocol.SubscriptionData.Builder.java,PubSubProtocol.SubscriptionData.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionData.Builder.getDescriptorForType(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,PubSubProtocol.RegionSpecificSeqId.java,PubSubProtocol.RegionSpecificSeqId,org.apache.hedwig.protocol.PubSubProtocol.RegionSpecificSeqId.parseFrom(com.google.protobuf.CodedInputStream),3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,DataFormats.UnderreplicatedLedgerFormat.Builder.java,DataFormats.UnderreplicatedLedgerFormat.Builder,org.apache.bookkeeper.proto.DataFormats.UnderreplicatedLedgerFormat.Builder.getDescriptor(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.MessageOrBuilder.java,PubSubProtocol.MessageOrBuilder,org.apache.hedwig.protocol.PubSubProtocol.MessageOrBuilder.getMsgId(),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,AbstractSubscriptionManager.java,AbstractSubscriptionManager,"'org.apache.hedwig.server.subscriptions.AbstractSubscriptionManager.operationFinished(Object, Void)'",3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,LedgerCacheMXBean.java,LedgerCacheMXBean,org.apache.bookkeeper.bookie.LedgerCacheMXBean.getNumCleanLedgers(),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
