Version,ReleaseIndex,ReleaseData,File,Class,Signature,LOC,NumStatements,NumParams,NumLocalVars,Cyclomatic,CognitiveComplexity,NestingDepth,ReturnTypeComplexity,CodeSmells,MethodHistories,N-Authors,Churn,Stmt_Added,Stmt_Deleted,Total_MethodHistories,Total_N-Authors,Total_Churn,Total_Stmt_Added,Total_Stmt_Deleted,isBuggy
4.1.1,3,2013-01-16,LedgerFragment.java,LedgerFragment,org.apache.bookkeeper.client.LedgerFragment.getFirstStoredEntryId(),11,3,0,2,3,3,2,1,0,1,1,2,1,1,1,1,2,1,1,True
4.1.1,3,2013-01-16,GarbageCollectorThread.EntryLogMetadata.java,GarbageCollectorThread.EntryLogMetadata,org.apache.bookkeeper.bookie.GarbageCollectorThread.EntryLogMetadata.removeLedger(long),7,3,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,ZkMetadataManagerFactory.ZkTopicOwnershipManagerImpl.java,ZkMetadataManagerFactory.ZkTopicOwnershipManagerImpl,org.apache.hedwig.server.meta.ZkMetadataManagerFactory.ZkTopicOwnershipManagerImpl.close(),3,0,0,0,1,0,0,1,0,1,1,173,173,0,1,1,173,173,0,False
4.1.1,3,2013-01-16,LedgerCacheImpl.java,LedgerCacheImpl,"org.apache.bookkeeper.bookie.LedgerCacheImpl.getLedgerEntryPage(Long, Long, boolean)",12,4,3,1,3,2,1,1,0,3,1,19,10,9,3,1,19,10,9,False
4.1.1,3,2013-01-16,GarbageCollectorThread.EntryLogMetadata.java,GarbageCollectorThread.EntryLogMetadata,org.apache.bookkeeper.bookie.GarbageCollectorThread.EntryLogMetadata.toString(),5,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,DataFormats.LedgerMetadataFormat.java,DataFormats.LedgerMetadataFormat,org.apache.bookkeeper.proto.DataFormats.LedgerMetadataFormat.getLength(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,DataFormats.AuditorVoteFormat.java,DataFormats.AuditorVoteFormat,org.apache.bookkeeper.proto.DataFormats.AuditorVoteFormat.hasBookieId(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,ServerStats.java,ServerStats,org.apache.bookkeeper.proto.ServerStats.resetMaxLatency(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,BookieClient.Counter.java,BookieClient.Counter,org.apache.bookkeeper.proto.BookieClient.Counter.dec(),4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.StopDeliveryRequest.Builder.java,PubSubProtocol.StopDeliveryRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.StopDeliveryRequest.Builder.clear(),6,4,0,0,1,0,0,1,0,1,1,8,3,5,2,2,10,3,7,True
